criminal_id,name,alias,age,gender,district_id,aadhaar_hash,status,created_at
86,Ryan Mani,Aarush,38,Male,10,38f7f7e2a0e3ddd5,absconding,2026-04-25
87,Vincent Gera,,57,Male,14,e5d6ca8f024fb818,absconding,2025-05-20
88,Rehaan Sahota,,58,Male,12,778628883679ab33,acquitted,2025-03-12
89,Samesh Gulati,Ayush,42,Male,11,c925af347fbbccbc,arrested,2025-09-08
90,Ekapad Thakur,,34,Male,9,67233693a6e1210b,convicted,2024-10-02
91,Tara Bajaj,,50,Female,10,9b81a509d5b19c50,acquitted,2025-06-05
92,Kritika Ganesan,,59,Female,22,6b73ab2e27439d74,convicted,2024-02-18
93,Chandani Prabhakar,,27,Female,30,4a40b8511d454f5a,acquitted,2025-06-18
94,Saumya Vaidya,,31,Female,26,7ac1df793f13e6b5,convicted,2025-10-15
95,Faris Shankar,,18,Male,11,e5c0af6d34632689,absconding,2025-09-29
96,Jagdish Gill,,24,Male,10,af0383f37224b93a,convicted,2024-07-01
97,Irya Naidu,Kevin,27,Female,15,d6e5b864bcc91bba,arrested,2025-07-28
98,Bachittar Balasubramanian,,59,Male,22,78f123c7cebbcd58,absconding,2026-01-12
99,Vihaan Sharaf,Yash,58,Male,25,97050633ddfa88a9,absconding,2024-09-15
100,Kavya Goel,,18,Female,14,93d624281ece42ed,absconding,2026-02-13
101,Zashil Choudhry,,26,Male,6,af13ad04b33064ad,absconding,2025-01-01
102,Fariq Konda,,60,Male,24,348b38f123156b07,on_bail,2026-02-04
103,Bhavya Amble,,44,Female,26,8f08f01ecbe0c1fa,convicted,2024-07-18
104,Samar Venkatesh,,49,Male,30,c3995f5bb6f03e3e,absconding,2024-08-07
105,Sanya Bobal,Omisha,33,Female,3,bb51b127155b66fa,convicted,2025-10-28
106,Dipta Walla,Arjun,23,Female,31,26f480de3b33a861,on_bail,2025-09-16
107,Warda Bhasin,Brinda,38,Female,6,b3c99876148cf2e9,on_bail,2024-04-16
108,Anusha Patla,,28,Female,24,b3a2f4dd642932a4,arrested,2025-12-10
109,Yashodhara Sarraf,,43,Female,26,8f3fd7873caa4b98,convicted,2026-04-09
110,David Chawla,Madhav,37,Male,16,1156b596dcf55206,acquitted,2026-05-14
111,Daksh Gara,Jeevika,42,Male,6,519bf38a7f7618da,absconding,2024-09-01
112,Omkaar Dhar,,24,Male,26,5a9aeb627b314ffd,on_bail,2026-02-01
113,Warhi Kade,,41,Female,29,8c866b1735506768,acquitted,2024-01-22
114,Chasmum Narayan,,37,Female,30,3a19096916639a38,acquitted,2024-09-03
115,Vasudha Swamy,,18,Female,18,411fbb95a91bf541,acquitted,2025-09-01
116,Leena Oommen,,35,Female,26,c0c22a4007696228,on_bail,2024-09-11
117,Vamakshi Narayanan,Shravya,54,Female,28,c4ca387cfa403401,convicted,2025-01-27
118,Mahika Banik,,22,Female,20,0d2f18cfeff24d71,arrested,2025-09-06
119,Falak Vig,,23,Female,5,6194d5c04567a7cd,on_bail,2025-12-30
120,Agastya Kant,Kamala,36,Male,4,bbeacccf7d8098d4,absconding,2024-08-09
121,Madhav Mohanty,,48,Male,8,cb823869511902ff,convicted,2025-11-28
122,Niharika Soman,,24,Female,5,33aa9d8fa19339f9,arrested,2024-04-12
123,Manan Dubey,,29,Male,18,f09d013a1e606046,absconding,2024-09-16
124,Falak Master,,29,Female,11,0c04fbad8dacd6b4,arrested,2026-04-20
125,Kabir Kari,,23,Male,21,7cdfe6a282413c45,acquitted,2024-11-01
126,Jagvi Mitter,,50,Female,12,b04efc4805b1c4ee,convicted,2025-10-11
127,Abha Lad,,33,Female,8,7862d7506826db49,convicted,2025-12-14
128,Samaksh Sood,,47,Male,21,fc0cf50d91a6ec7d,arrested,2025-06-27
129,Pooja Dugal,,31,Female,7,12a6be8448b5d4cf,convicted,2024-04-22
130,Rachit Radhakrishnan,,47,Male,16,41e6a6dcfcf3f196,on_bail,2024-10-01
131,Hamsini Vohra,,55,Female,13,ccc1a9243c25ce5f,on_bail,2025-10-14
132,Harita Sule,Ladli,28,Female,12,5c24ee336e2a33a7,on_bail,2024-11-15
133,Bhavini Oommen,Umang,38,Female,3,0c2de23c9075dd0e,on_bail,2024-08-03
134,Ishanvi Kapur,,35,Female,25,127d6a2437e0af25,absconding,2025-07-21
135,Liam Dar,,21,Male,21,5a3b75c57c2f30bc,on_bail,2025-09-12
136,Rachana Tara,,36,Female,9,6735e69b45f07504,arrested,2026-05-13
137,Abha Viswanathan,,43,Female,17,74db56bfc7d12662,absconding,2025-03-05
138,Isha Patla,Bachittar,37,Female,13,6a62ad7965a2df12,on_bail,2024-04-20
139,Chandran Narayan,,21,Male,6,c9d81945194ab100,acquitted,2023-12-10
140,Lopa Warrior,,33,Female,16,90e2d6378fd6559c,convicted,2025-06-10
141,Baghyawati Sekhon,,21,Female,11,ad830344ba37b92a,absconding,2025-06-15
142,Krisha Kunda,Qadim,51,Female,8,7823106ae1562578,acquitted,2026-05-14
143,Jhalak Shan,,39,Female,26,6f1b35267cc59e36,acquitted,2025-07-24
144,Anusha Lata,,18,Female,29,d94a7bf74e4c1772,on_bail,2023-11-09
145,Chakradev Gupta,Devansh,56,Male,26,2cc9714c5969ebbb,convicted,2025-05-28
146,Max Bhat,,34,Male,12,48a78f518c93b118,convicted,2025-03-21
147,Ishaan Kohli,Vansha,40,Male,15,b651848ac1b4259f,convicted,2024-10-31
148,Chandran Yadav,Charan,21,Male,20,5d12228b444288de,on_bail,2026-02-04
149,Balhaar Hegde,,19,Male,9,e4bd2c8331afacad,arrested,2025-02-01
150,Devika Sathe,,58,Female,24,f251c34135e87ff0,convicted,2024-06-22
151,Wazir Hora,,35,Male,6,24d55aa455dbc546,arrested,2023-11-21
152,Janaki Sur,,58,Female,14,cfd4570085a6ab0c,arrested,2025-03-03
153,Aayush Sani,,32,Male,26,08f6e4068d32044c,on_bail,2026-04-09
154,Timothy Hayer,Tanmayi,25,Male,17,098ba904b2b3726b,absconding,2025-08-13
155,Ladli Ray,,54,Female,16,b3b6797027f70cbf,acquitted,2026-04-03
156,Xiti Goda,,43,Female,30,486a813a321e1afd,on_bail,2025-11-04
157,Yashica Subramanian,Yoshita,31,Female,28,ad6c9ff3015a8f27,absconding,2024-08-18
158,Netra Lalla,,45,Female,26,d36c21d12e616e68,arrested,2025-07-02
159,Onkar Maharaj,,21,Male,20,7e78b10d4a8946b8,on_bail,2024-04-15
160,Urvi Choudhury,,30,Female,29,cf490369bde07381,acquitted,2026-04-05
161,Widisha Ahuja,,58,Female,6,68a175034f694c57,on_bail,2025-10-31
162,Yashoda Singhal,Warhi,32,Female,31,0daa9f48fa85f8c1,arrested,2026-02-22
163,Gaurav Bhatti,,27,Male,11,df06ae38237a72e7,absconding,2024-05-10
164,Max Chandra,,25,Male,24,6628ec52c6a5053b,absconding,2025-10-05
165,Pavani Yohannan,,53,Female,26,0108af659f7b3340,absconding,2023-11-18
166,Gunbir Chopra,Vincent,49,Male,25,972cac738170a50b,acquitted,2024-09-07
167,Mitesh Thaker,Dalaja,43,Male,22,121ef86d9ecbebdc,acquitted,2024-03-13
168,Zilmil Sodhi,Harshil,44,Female,8,fbabb53e1e653170,convicted,2023-09-24
169,Jagrati Dubey,,50,Female,20,2a160a3f11ebba75,on_bail,2023-10-05
170,Farhan Handa,Meghana,23,Male,10,a3d6ac20ea69dbf7,convicted,2025-06-21
171,Farhan Dugar,,31,Male,27,501d931f00621e5f,arrested,2023-11-07
172,Warjas Saha,Amruta,49,Male,23,27d8d57a0748021f,arrested,2024-02-28
173,Lekha Sodhi,Chavvi,20,Female,18,35e155c8e1a54b43,absconding,2024-01-01
174,Eta Mohan,,37,Female,31,880a4e4f4cd2f4b1,arrested,2024-09-12
175,Peter Murty,,57,Male,13,edfe62479f28b714,acquitted,2024-09-07
176,Nikita Sandal,,33,Female,18,6e14a8e077f8826a,acquitted,2023-12-01
177,Turvi Ahluwalia,,38,Female,28,1edca85c05107f7f,arrested,2023-12-20
178,Baghyawati Rege,,41,Female,20,3edd06da5fd08c94,acquitted,2026-05-03
179,Ekaraj Shan,Anusha,39,Male,24,4e9e9831ef4f9258,arrested,2024-07-02
180,Isha Joshi,,54,Female,19,b110d2cf4337a63e,convicted,2025-12-10
181,Manan Prakash,,29,Male,11,f0ed60124fcf2c75,arrested,2026-04-09
182,Naveen Sane,,56,Male,4,d2bcfaa7ae74a30a,arrested,2025-04-22
183,Omaja Iyengar,,25,Female,13,c724fdbb4cdf9c38,convicted,2025-09-23
184,Yashasvi Sarraf,,41,Female,26,2da4f79c9f54f0e8,on_bail,2025-05-18
185,Chatresh Borde,,58,Male,26,7c9d7770dbad4b1e,acquitted,2026-02-10
186,Gaurika Nanda,Varsha,42,Female,9,17968eccee60c034,absconding,2025-07-11
187,Arin Ramakrishnan,,44,Male,13,794382a0d442dec9,arrested,2025-07-17
188,Kritika Mammen,,49,Female,18,11817208866a908e,convicted,2024-03-26
189,Ayushman Chaudhuri,Daksh,58,Male,13,247fd321fe8ebb91,absconding,2026-02-16
190,Lakshit Yogi,,21,Male,18,b9e036419dda9b54,arrested,2024-07-25
191,Urvashi Mane,Indrajit,57,Female,25,33a58c09458f2dc6,absconding,2025-10-20
192,Ekani Borah,Ekta,48,Female,20,d5a70fdf234a87c0,on_bail,2024-01-01
193,Forum Dora,Chandani,35,Female,14,7615e47f0cacf34d,arrested,2025-04-30
194,Chaitanya Sarma,,31,Male,11,ac4d2032d123ef37,absconding,2025-02-16
195,Omisha Lad,Bishakha,22,Female,17,e132387ea87a7f61,absconding,2025-05-09
196,Ekaraj Bir,,40,Male,7,64dade224324abeb,convicted,2025-05-28
197,Radha Sehgal,,31,Female,7,fa6c18d2ee2ff514,convicted,2025-10-25
198,Hiral Nagi,,37,Female,25,a205e3e2dca36874,acquitted,2024-10-26
199,Ishaan Sharma,Janaki,19,Male,24,5ebbfc8fda253f01,absconding,2023-10-12
200,Hardik Lad,,29,Male,27,16c1033b48106075,absconding,2023-10-23
201,Advay Dey,Jagdish,46,Male,20,cbfe3709cdac9a14,convicted,2025-04-26
202,Tanay Randhawa,,43,Male,6,c7db1701751d0260,arrested,2025-04-28
203,Arunima Wadhwa,Darpan,48,Female,8,9e082cc4f5479fc3,acquitted,2025-01-17
204,Adweta Sarkar,,24,Female,1,f45da3eac5e5c7e7,arrested,2024-04-26
205,Yashawini Narain,,29,Female,16,46f85cf0807e0ae2,absconding,2025-01-05
206,Lohit Nath,Ekalinga,49,Male,11,b5cf9ceba18f5218,on_bail,2024-03-19
207,Chakradhar Chowdhury,,57,Male,27,cbd23f049613c272,on_bail,2026-03-20
208,Yashvi Chahal,Upadhriti,48,Female,31,df50fe883fdf9fdb,acquitted,2024-05-04
209,Balhaar Sankar,,48,Male,29,e4b964fd81f3e49d,absconding,2025-02-22
210,Viraj Seth,Max,51,Male,8,d55bd0f6c40ee30c,on_bail,2024-03-29
211,Balhaar Gopal,Harinakshi,42,Male,30,de0ce3f50ad69e5e,arrested,2024-06-08
212,Tarak Bail,,56,Male,17,ea5c08d6520b252a,on_bail,2026-02-16
213,Nandini Ahuja,,40,Female,30,0134454e1f6c1e3d,absconding,2024-09-18
214,Adya Anand,,31,Female,9,b504658c55467e33,arrested,2023-11-14
215,Neel Sane,Matthew,51,Male,24,a875b15eeb206ffa,convicted,2026-03-29
216,Isaac Narain,Tanvi,50,Male,27,fa003a8a0cb80a86,arrested,2024-05-24
217,Raagini Dua,Ranbir,55,Female,26,38403a145cd90fa4,acquitted,2025-05-12
218,Harshil Morar,,36,Male,3,6f4e994e355515b3,acquitted,2025-02-13
219,Chandresh Bal,,37,Male,17,bb8063d5107f4772,convicted,2023-11-27
220,Devansh Zachariah,Ijaya,36,Male,13,a835ef8054e68a3e,convicted,2025-08-21
221,Omisha Murty,,45,Female,7,38b8fd6a43fdf0a7,on_bail,2024-10-11
222,Hemang Jaggi,,23,Male,18,5cf7188e501728fb,absconding,2026-03-04
223,Gautami Samra,,28,Female,21,ba2d136e19015b31,absconding,2023-12-13
224,Jackson Kalla,,55,Male,15,60db61359005c936,on_bail,2023-09-28
225,Agastya Devan,,45,Male,23,9c7d8dc8705e98bd,acquitted,2024-11-22
226,Diya Prashad,,50,Female,24,a2ecf5b4168dd4e7,acquitted,2025-11-19
227,Tristan Joshi,,41,Male,15,42461313ec6721ff,absconding,2026-03-03
228,Aryan Sekhon,Reva,39,Male,20,9fb36285bbb92a2f,arrested,2025-11-20
229,Ira Jha,Lajita,54,Female,7,152286c34bffb67f,on_bail,2025-05-10
230,Charita Gill,,23,Female,26,2d497d08ae118883,convicted,2025-03-30
231,Finn Kadakia,,23,Male,23,d2e95094ce1cdb49,arrested,2024-01-16
232,Yash Parmar,,21,Male,3,f063a6d2f577c9bf,convicted,2025-11-04
233,Sarthak Halder,,36,Male,15,ea1739979f4805ab,absconding,2025-08-04
234,Chakradev Tripathi,Jagvi,46,Male,21,f189c4bd8e0840ad,on_bail,2025-02-21
235,Lakshmi Trivedi,Isaac,35,Female,21,a54bcf1441509eeb,on_bail,2023-12-13
236,Abhiram Amble,Lajita,46,Male,5,84255b800b84d2f2,arrested,2024-03-31
237,Ryan Chaudhry,,44,Male,1,3debc7826924b048,on_bail,2024-05-31
238,Radha Mukherjee,Dhruv,47,Female,7,110b5ad396aa78dc,convicted,2025-05-03
239,Netra Karnik,,41,Female,7,cc5eab81ccc11c18,acquitted,2026-03-01
240,Saumya Sinha,,40,Female,20,3138e9a4a7700549,on_bail,2024-08-02
241,Laksh Naik,Chakradev,27,Male,13,a48e5696712469c5,acquitted,2025-04-14
242,Kritika Goel,,31,Female,25,1fde9a638a0343c8,convicted,2026-03-22
243,Devansh Venkataraman,,23,Male,30,5be7e8657ae270cd,on_bail,2023-09-28
244,Ekiya Singhal,Balvan,28,Female,17,451a5682d3fe193c,arrested,2024-01-31
245,Henry Memon,Kamya,36,Male,1,fe24c9ffb134235d,on_bail,2025-10-22
246,Farhan Saini,,38,Male,17,da7a73a79dc2b45e,absconding,2025-04-17
247,Harita Venkataraman,Max,24,Female,14,67d1fb5feae0aaba,acquitted,2024-07-07
248,Qabil Choudhary,Nicholas,35,Male,13,e065e73e10b69eca,absconding,2026-04-17
249,Yadavi Jani,Damini,51,Female,18,f19902092ef4b3ca,absconding,2024-07-04
250,Ridhi Lanka,Ekani,19,Female,25,53f9a0273fd6109e,convicted,2024-03-27
251,Amara Narula,Ayush,57,Female,26,67a5e3905fb59b9c,acquitted,2026-04-07
252,Anika Dhawan,,55,Female,11,000f2e455fce87b3,convicted,2025-06-12
253,Arin Zacharia,,24,Male,10,c7cd5bdcf36475bd,acquitted,2023-11-22
254,Zaitra Gara,,60,Female,20,aa47eeb11fcb4d8f,acquitted,2025-01-30
255,Chandresh Aurora,,34,Male,17,8a82a28b55709b5e,acquitted,2023-10-06
256,Isaac Chanda,,49,Male,16,486427b95242b11c,absconding,2025-03-08
257,Bhavini Chowdhury,,21,Female,22,cb1a1d06d36cb2e1,acquitted,2024-11-23
258,Vedika Sagar,,52,Female,10,0c72401def3ca66e,acquitted,2025-06-12
259,Ekalinga Acharya,Deepa,53,Male,6,cc695dda7fa2e6fc,arrested,2026-04-22
260,Wahab Kurian,Kabir,41,Male,16,a4252052546c7318,arrested,2024-07-14
261,Rajeshri Char,,37,Female,11,7cf6a949ce6c134c,absconding,2026-03-09
262,Xiti Hayre,Jeremiah,36,Female,28,eec8b41826030f7c,absconding,2024-07-02
263,Yasti Dayal,Luke,43,Female,8,5591df7b7cae0590,acquitted,2024-03-03
264,Chakrika Chandran,,52,Female,23,e4f79772d9513555,acquitted,2024-07-28
265,Lohit Cheema,,49,Male,17,055d9c45fbefe948,acquitted,2024-12-30
266,Isaiah Krishna,,21,Male,15,4bfd2dcd85f169f4,acquitted,2024-03-13
267,Nidhi Narasimhan,,34,Female,16,a80b2b4a17334b4e,acquitted,2023-11-11
268,Yoshita Varughese,Amara,46,Female,22,d2d400b7f9629841,on_bail,2025-01-31
269,Nihal Sami,Kavya,42,Male,26,f3fdbe386e8e039d,acquitted,2025-06-25
270,Anika Rajan,,30,Female,20,83576b3abce98eb2,absconding,2024-03-06
271,Hardik Gopal,Akshay,36,Male,28,0ca845c7e5f1a8f3,arrested,2024-06-12
272,Anika Khanna,,57,Female,26,5f9a63ab95bc63cd,convicted,2024-09-21
273,Sneha Naidu,,32,Female,6,4e58587e142a2581,acquitted,2024-01-28
274,Warda Sule,,20,Female,17,385c8f6673f2b1fa,absconding,2025-03-09
275,Ijaya Ravi,,58,Female,5,44616668d7cc0fb3,arrested,2025-11-24
276,Jalsa Setty,Adya,21,Female,27,e90f2da6e197770d,arrested,2025-10-01
277,Dhriti Mammen,Yoshita,52,Female,9,c18a1f3fd459e614,acquitted,2024-06-21
278,Om Grewal,,52,Male,30,33e791d3cd9336c7,absconding,2023-11-04
279,Panini Sura,Tanmayi,43,Female,28,4de530a826bbd7da,absconding,2025-08-07
280,Onveer Venkataraman,,29,Male,11,e9cedce03878f3b0,convicted,2025-12-19
281,Azad Pau,,54,Male,30,a63540d3d93772a7,on_bail,2025-10-20
282,Amara Date,,25,Female,11,9d215716b2f4963c,absconding,2024-05-04
283,Jhalak Shankar,,46,Female,9,a4c0740f80694a01,arrested,2025-02-20
284,Darpan Merchant,Jonathan,20,Male,4,c432795cf1b8298f,convicted,2025-04-04
285,Nikita Sethi,,35,Female,15,67f771b19bca0c99,acquitted,2024-07-21
286,Benjamin Thaman,,54,Male,25,9f5d8805b3e32fb5,convicted,2025-10-08
287,Rushil Vaidya,,38,Male,6,edad0911eb821a8a,arrested,2025-01-17
288,Ekta Kapadia,,21,Female,7,efb87e975a02d89a,acquitted,2024-03-20
289,Hardik Pandya,,43,Male,19,a10c610bcedbbfe3,acquitted,2024-01-26
290,Arjun Walia,,51,Male,18,685542d56be13558,absconding,2023-12-22
291,Jyoti Wali,Ojas,21,Female,3,60f9fc51093ffce9,on_bail,2023-09-23
292,Gauri Chaudhry,,55,Female,26,c6fe7b0fb292c039,on_bail,2025-12-28
293,Jeevika Doshi,Panini,23,Female,14,e9ca23fb2ebce2b5,acquitted,2023-09-29
294,Liam Bawa,,31,Male,9,94e9c737bfac3f36,convicted,2024-06-04
295,Manbir Ramakrishnan,,46,Male,11,a2b8edd9fa543470,arrested,2026-05-14
296,Wazir Sidhu,Ekanta,51,Male,5,0bf907e6a45f4088,acquitted,2024-10-22
297,Mason Acharya,Falan,55,Male,27,81efb445077dcea8,convicted,2024-10-16
298,Nimrat Joshi,,53,Female,25,bd844f239bd0fe40,convicted,2025-01-13
299,Ayushman Roy,Logan,38,Male,17,9a99d857438ccd2e,arrested,2023-11-13
300,Warda Dyal,Xavier,35,Female,4,d0cfc4594f6ea76b,on_bail,2025-09-03
301,Fariq Saini,,26,Male,25,0f724ee55af6355a,acquitted,2024-10-05
302,Gunbir Kothari,Inaya,24,Male,7,2b3e6efee431e55a,absconding,2023-11-11
303,Isaiah Majumdar,Logan,48,Male,16,3522bb9261a9ec80,on_bail,2024-01-30
304,David Doshi,,29,Male,31,1b0a89925dbb5707,on_bail,2024-01-24
305,Vamakshi Dhar,,19,Female,28,c95d4c3492316a53,acquitted,2024-12-04
306,Nihal Apte,,50,Male,27,203484a7c7304f39,absconding,2023-09-22
307,Nachiket Viswanathan,,35,Male,11,f060fb9523e07bd3,arrested,2026-04-15
308,Vrishti Kata,,52,Female,24,81e451b9229ff9ae,acquitted,2024-07-27
309,Manthan Dash,Suhani,39,Male,12,04a15d4f86640959,on_bail,2025-05-27
310,Balendra Om,Anita,53,Male,12,530ea1283eaf7c5c,arrested,2023-10-12
311,Sai Kumer,Isaiah,56,Female,30,4a8905a74fd09870,acquitted,2024-02-07
312,Unni Ganguly,,53,Female,4,532ca5bed3097753,absconding,2024-09-13
313,Mugdha Kar,,53,Female,23,78f8832fb8f98626,on_bail,2025-03-15
314,Chanchal Patil,,27,Female,2,712f8089e8cd54cd,arrested,2025-11-02
315,Yug Sankaran,Oviya,43,Male,20,278af1053d3692f8,on_bail,2025-11-27
316,Damini Mammen,,44,Female,19,f8b0b03a42d3e3e1,on_bail,2025-01-28
317,Jeremiah Trivedi,Falguni,49,Male,23,91dbfded5de767a8,on_bail,2025-12-24
